"noteWavNames";"notenames";"expected";"expected_notenames";"date";"rownum";"session"
-3;"f#'";-3;"f#'";"2017-09-21";"18";9
-2;"g'";-3;"f#'";"2017-09-21";"19";9
-2;"g'";-2;"g'";"2017-09-21";"20";9
-2;"g'";-2;"g'";"2017-09-21";"21";9
-14;"g";-14;"g";"2017-09-21";"1";10
-14;"g";-14;"g";"2017-09-21";"2";10
-13;"g#";-14;"g";"2017-09-21";"3";10
-13;"g#";-12;"a";"2017-09-21";"4";10
-13;"g#";-12;"a";"2017-09-21";"5";10
-11;"a#";-10;"b";"2017-09-21";"6";10
-11;"a#";-10;"b";"2017-09-21";"7";10
-10;"b";-9;"c'";"2017-09-21";"8";10
-9;"c'";-9;"c'";"2017-09-21";"9";10
-9;"c'";-9;"c'";"2017-09-21";"10";10
-7;"d'";-7;"d'";"2017-09-21";"11";10
-7;"d'";-7;"d'";"2017-09-21";"12";10
-7;"d'";-7;"d'";"2017-09-21";"13";10
-5;"e'";-5;"e'";"2017-09-21";"14";10
-5;"e'";-5;"e'";"2017-09-21";"15";10
-3;"f#'";-5;"e'";"2017-09-21";"16";10
-3;"f#'";-3;"f#'";"2017-09-21";"17";10
-2;"g'";-3;"f#'";"2017-09-21";"18";10
-2;"g'";-3;"f#'";"2017-09-21";"19";10
-2;"g'";-2;"g'";"2017-09-21";"20";10
-2;"g'";-2;"g'";"2017-09-21";"21";10
-13;"g#";-14;"g";"2017-09-21";"1";11
-14;"g";-14;"g";"2017-09-21";"2";11
-14;"g";-14;"g";"2017-09-21";"3";11
-37;"G#,";-12;"a";"2017-09-21";"4";11
-13;"g#";-12;"a";"2017-09-21";"5";11
-13;"g#";-10;"b";"2017-09-21";"6";11
-11;"a#";-10;"b";"2017-09-21";"7";11
-10;"b";-9;"c'";"2017-09-21";"8";11
-9;"c'";-9;"c'";"2017-09-21";"9";11
-9;"c'";-9;"c'";"2017-09-21";"10";11
-7;"d'";-7;"d'";"2017-09-21";"11";11
-7;"d'";-7;"d'";"2017-09-21";"12";11
-7;"d'";-7;"d'";"2017-09-21";"13";11
-5;"e'";-5;"e'";"2017-09-21";"14";11
-5;"e'";-5;"e'";"2017-09-21";"15";11
-3;"f#'";-5;"e'";"2017-09-21";"16";11
-3;"f#'";-3;"f#'";"2017-09-21";"17";11
-2;"g'";-3;"f#'";"2017-09-21";"18";11
-2;"g'";-3;"f#'";"2017-09-21";"19";11
